ID_CORRELATIVO,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
33554,Reclamo,PROCEDE TOTAL,202407,Producto 05,Submotivo 125
16469,Reclamo,NO PROCEDE,202407,Producto 17,Submotivo 89
2009,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
87507,Reclamo,PROCEDE TOTAL,202407,Producto 20,Submotivo 142
87507,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
34523,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 132
46663,Reclamo,PROCEDE TOTAL,202407,Producto 07,Submotivo 141
46663,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 156
34050,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
34050,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
37612,Reclamo,NO PROCEDE,201208,Producto 01,Submotivo 125
62660,Reclamo,PROCEDE TOTAL,201208,Producto 21,Submotivo 88
56510,Reclamo,PROCEDE PARCIAL,202404,Producto 18,Submotivo 66
14393,Reclamo,NO PROCEDE,202405,Producto 17,Submotivo 91
14393,Reclamo,NO PROCEDE,202405,Producto 17,Submotivo 89
26210,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
49984,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 144
68977,Solicitud,NO PROCEDE,202403,Producto 20,Submotivo 144
68977,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 125
49451,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
9221,Reclamo,NO PROCEDE,201208,Producto 17,Submotivo 95
9221,Reclamo,NO PROCEDE,202407,Producto 17,Submotivo 95
9221,Reclamo,NO PROCEDE,202407,Producto 17,Submotivo 92
9221,Reclamo,PROCEDE TOTAL,202407,Producto 17,Submotivo 89
28744,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
79916,Solicitud,PROCEDE TOTAL,202403,Producto 07,Submotivo 130
684,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
92213,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 157
92213,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
22774,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 144
13077,Reclamo,NO PROCEDE,201208,Producto 18,Submotivo 67
56252,Reclamo,PROCEDE TOTAL,202407,Producto 07,Submotivo 125
78736,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
57343,Reclamo,PROCEDE TOTAL,201208,Producto 17,Submotivo 89
57343,Reclamo,PROCEDE TOTAL,202404,Producto 07,Submotivo 125
30698,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 132
30698,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 132
30698,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 132
30698,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 132
30698,Reclamo,PROCEDE PARCIAL,202407,Producto 18,Submotivo 125
30698,Reclamo,PROCEDE PARCIAL,202407,Producto 18,Submotivo 125
30698,Reclamo,PROCEDE TOTAL,202407,Producto 18,Submotivo 125
87300,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
82188,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 125
84865,Reclamo,PROCEDE TOTAL,202405,Producto 21,Submotivo 39
97793,Reclamo,PROCEDE PARCIAL,202407,Producto 18,Submotivo 68
44243,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 43
51978,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 88
53752,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
62106,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 66
62106,Reclamo,NO PROCEDE,201208,Producto 05,Submotivo 125
28413,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
28413,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
28413,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
91610,Reclamo,PROCEDE TOTAL,202404,Producto 21,Submotivo 150
42615,Solicitud,PROCEDE TOTAL,202406,Producto 20,Submotivo 132
42615,Reclamo,PROCEDE TOTAL,202406,Producto 18,Submotivo 125
42615,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 43
59865,Reclamo,NO PROCEDE,202404,Producto 17,Submotivo 109
95578,Reclamo,NO PROCEDE,202406,Producto 05,Submotivo 125
45054,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
8700,Reclamo,PROCEDE TOTAL,202406,Producto 05,Submotivo 125
42719,Reclamo,PROCEDE PARCIAL,201208,Producto 20,Submotivo 125
31483,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 125
18762,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 43
18762,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 125
66119,Reclamo,NO PROCEDE,202405,Producto 06,Submotivo 125
36907,Reclamo,NO PROCEDE,202406,Producto 10,Submotivo 125
93379,Reclamo,PROCEDE TOTAL,202403,Producto 21,Submotivo 125
91552,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 88
10552,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 144
10552,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
97079,Reclamo,NO PROCEDE,202406,Producto 05,Submotivo 125
47943,Reclamo,PROCEDE PARCIAL,202405,Producto 18,Submotivo 125
11982,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
11982,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
70844,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
70844,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 125
21745,Reclamo,NO PROCEDE,202406,Producto 01,Submotivo 146
81348,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
47682,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 43
85399,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
6316,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
59641,Reclamo,PROCEDE TOTAL,202407,Producto 20,Submotivo 145
98951,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 132
98951,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 132
30242,Reclamo,NO PROCEDE,202407,Producto 18,Submotivo 125
30242,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 125
736,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 125
22012,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
26547,Reclamo,NO PROCEDE,201208,Producto 17,Submotivo 95
73902,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 43
20172,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 67
52782,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 156
69356,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 132
69356,Reclamo,PROCEDE PARCIAL,202407,Producto 18,Submotivo 125
69356,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 145
73886,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
33776,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
23429,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 132
82227,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
82227,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
48986,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 125
50851,Reclamo,NO PROCEDE,202407,Producto 21,Submotivo 156
95680,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 132
61294,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
88575,Reclamo,NO PROCEDE,202406,Producto 07,Submotivo 125
97071,Reclamo,PROCEDE TOTAL,202406,Producto 01,Submotivo 125
98793,Reclamo,PROCEDE TOTAL,202404,Producto 01,Submotivo 125
84929,Reclamo,PROCEDE TOTAL,202405,Producto 18,Submotivo 67
15443,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
15443,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 43
95021,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
97204,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
41752,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
41752,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 43
41752,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 43
41752,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
14021,Solicitud,PROCEDE TOTAL,202406,Producto 20,Submotivo 132
4123,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 26
4123,Reclamo,PROCEDE TOTAL,202407,Producto 07,Submotivo 27
4123,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
4123,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
92893,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
15532,Reclamo,PROCEDE TOTAL,202403,Producto 18,Submotivo 67
6976,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
60030,Reclamo,PROCEDE PARCIAL,202403,Producto 03,Submotivo 125
20250,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
35682,Reclamo,PROCEDE TOTAL,202407,Producto 18,Submotivo 68
64780,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
79737,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 125
14182,Reclamo,PROCEDE TOTAL,202407,Producto 17,Submotivo 90
31244,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 43
4561,Reclamo,NO PROCEDE,202406,Producto 18,Submotivo 67
62071,Solicitud,PROCEDE TOTAL,202403,Producto 07,Submotivo 144
88743,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 39
75660,Solicitud,PROCEDE TOTAL,202404,Producto 07,Submotivo 144
682,Reclamo,NO PROCEDE,202404,Producto 04,Submotivo 125
93253,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 125
87712,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
87712,Solicitud,PROCEDE TOTAL,202404,Producto 20,Submotivo 132
87712,Reclamo,PROCEDE TOTAL,202404,Producto 18,Submotivo 125
87712,Reclamo,NO PROCEDE,202404,Producto 18,Submotivo 125
87712,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 132
71271,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
85570,Reclamo,NO PROCEDE,202403,Producto 07,Submotivo 141
84447,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 132
84447,Reclamo,NO PROCEDE,202407,Producto 07,Submotivo 125
84447,Reclamo,PROCEDE TOTAL,202405,Producto 21,Submotivo 156
84447,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 27
49805,Reclamo,PROCEDE PARCIAL,202405,Producto 07,Submotivo 125
60829,Reclamo,NO PROCEDE,201208,Producto 18,Submotivo 123
13918,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 88
43256,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
43256,Reclamo,PROCEDE PARCIAL,202405,Producto 20,Submotivo 125
3067,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
3067,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
5292,Reclamo,PROCEDE TOTAL,202404,Producto 07,Submotivo 125
5292,Reclamo,NO PROCEDE,202403,Producto 21,Submotivo 125
65581,Reclamo,PROCEDE TOTAL,202407,Producto 20,Submotivo 125
65581,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
65581,Reclamo,NO PROCEDE,202404,Producto 18,Submotivo 67
65581,Reclamo,NO PROCEDE,202404,Producto 18,Submotivo 67
65581,Reclamo,NO PROCEDE,202403,Producto 18,Submotivo 67
65581,Reclamo,NO PROCEDE,202403,Producto 18,Submotivo 67
11920,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 43
85548,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 125
38175,Solicitud,PROCEDE TOTAL,202404,Producto 20,Submotivo 144
38823,Reclamo,PROCEDE TOTAL,202404,Producto 01,Submotivo 146
29811,Reclamo,PROCEDE TOTAL,202407,Producto 20,Submotivo 125
25180,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
25180,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 125
25180,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 125
40515,Reclamo,PROCEDE PARCIAL,202405,Producto 18,Submotivo 68
85918,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 142
85918,Reclamo,NO PROCEDE,202407,Producto 21,Submotivo 142
85918,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
90286,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
41179,Solicitud,PROCEDE TOTAL,202404,Producto 20,Submotivo 132
41179,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
41179,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
41179,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 125
99265,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 39
25177,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 26
40650,Reclamo,PROCEDE TOTAL,202407,Producto 07,Submotivo 27
40650,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 43
40650,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
29460,Reclamo,PROCEDE TOTAL,201208,Producto 04,Submotivo 125
38631,Solicitud,PROCEDE TOTAL,202406,Producto 20,Submotivo 132
21389,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
43037,Reclamo,NO PROCEDE,201208,Producto 18,Submotivo 125
27735,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 125
19377,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
92056,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 43
28543,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
28543,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
25124,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 125
84297,Solicitud,PROCEDE TOTAL,202404,Producto 20,Submotivo 144
84297,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
2928,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
74616,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 67
90437,Reclamo,NO PROCEDE,202403,Producto 18,Submotivo 125
50554,Solicitud,PROCEDE TOTAL,202403,Producto 07,Submotivo 144
63153,Reclamo,PROCEDE TOTAL,201208,Producto 01,Submotivo 146
43367,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 132
84973,Reclamo,PROCEDE TOTAL,202405,Producto 01,Submotivo 125
18271,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
18271,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
44084,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
75456,Reclamo,NO PROCEDE,202407,Producto 18,Submotivo 06
55318,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 157
61199,Reclamo,NO PROCEDE,202404,Producto 05,Submotivo 125
81048,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 125
61616,Reclamo,PROCEDE PARCIAL,202407,Producto 01,Submotivo 146
91921,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
58035,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
58035,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
535,Reclamo,NO PROCEDE,202403,Producto 17,Submotivo 89
65796,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
65796,Reclamo,NO PROCEDE,202407,Producto 18,Submotivo 125
65796,Reclamo,PROCEDE TOTAL,202407,Producto 07,Submotivo 27
32115,Solicitud,NO PROCEDE,202403,Producto 20,Submotivo 157
58122,Reclamo,NO PROCEDE,202406,Producto 01,Submotivo 146
58122,Reclamo,NO PROCEDE,202404,Producto 01,Submotivo 146
58122,Reclamo,NO PROCEDE,202403,Producto 01,Submotivo 146
58122,Reclamo,NO PROCEDE,202403,Producto 01,Submotivo 146
82168,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
82168,Reclamo,PROCEDE TOTAL,202407,Producto 07,Submotivo 125
79073,Reclamo,PROCEDE TOTAL,202403,Producto 17,Submotivo 89
15707,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 132
9768,Reclamo,PROCEDE TOTAL,202404,Producto 20,Submotivo 125
9768,Solicitud,NO PROCEDE,202403,Producto 20,Submotivo 157
3861,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
3861,Solicitud,NO PROCEDE,202403,Producto 20,Submotivo 157
54389,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 88
54389,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 88
42244,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
24900,Reclamo,PROCEDE TOTAL,202407,Producto 21,Submotivo 88
38276,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
38276,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 142
38276,Reclamo,PROCEDE TOTAL,202407,Producto 18,Submotivo 125
38276,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
85881,Reclamo,NO PROCEDE,202407,Producto 07,Submotivo 141
85881,Reclamo,NO PROCEDE,202406,Producto 07,Submotivo 125
79509,Reclamo,PROCEDE TOTAL,201208,Producto 17,Submotivo 89
30667,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
69042,Reclamo,PROCEDE TOTAL,202407,Producto 20,Submotivo 125
40402,Reclamo,PROCEDE TOTAL,202403,Producto 01,Submotivo 125
18185,Reclamo,NO PROCEDE,202407,Producto 17,Submotivo 105
18185,Reclamo,NO PROCEDE,202406,Producto 17,Submotivo 105
94789,Reclamo,PROCEDE TOTAL,201208,Producto 21,Submotivo 88
94789,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 88
94789,Reclamo,PROCEDE TOTAL,201208,Producto 21,Submotivo 88
94789,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 88
94789,Reclamo,NO PROCEDE,202407,Producto 21,Submotivo 88
94789,Reclamo,NO PROCEDE,202407,Producto 21,Submotivo 88
43406,Reclamo,PROCEDE TOTAL,202405,Producto 17,Submotivo 111
46602,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
46602,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
91492,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 157
97360,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
92147,Reclamo,PROCEDE TOTAL,202407,Producto 17,Submotivo 89
60032,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
84435,Reclamo,NO PROCEDE,202406,Producto 21,Submotivo 125
94622,Reclamo,PROCEDE TOTAL,202406,Producto 05,Submotivo 63
94622,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 132
94622,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
46283,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 144
60579,Reclamo,PROCEDE TOTAL,202405,Producto 17,Submotivo 91
72579,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 125
38333,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
38333,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 43
13147,Reclamo,NO PROCEDE,202403,Producto 03,Submotivo 125
81133,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 68
7249,Reclamo,PROCEDE TOTAL,202407,Producto 20,Submotivo 156
7249,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 88
7249,Solicitud,PROCEDE TOTAL,202404,Producto 20,Submotivo 132
32912,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 125
32912,Reclamo,PROCEDE TOTAL,202403,Producto 01,Submotivo 146
22274,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 27
62508,Reclamo,PROCEDE TOTAL,202405,Producto 06,Submotivo 125
62508,Reclamo,NO PROCEDE,202403,Producto 06,Submotivo 125
12115,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 132
12115,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
63642,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 142
63642,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
46103,Reclamo,NO PROCEDE,202404,Producto 07,Submotivo 125
69111,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 144
64388,Reclamo,PROCEDE TOTAL,202403,Producto 17,Submotivo 89
86846,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 43
86846,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 43
21419,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 125
193,Reclamo,PROCEDE TOTAL,202403,Producto 07,Submotivo 125
193,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
4454,Reclamo,NO PROCEDE,202403,Producto 18,Submotivo 68
8152,Reclamo,PROCEDE TOTAL,202404,Producto 20,Submotivo 125
36,Reclamo,NO PROCEDE,202406,Producto 01,Submotivo 146
36,Reclamo,NO PROCEDE,202405,Producto 01,Submotivo 146
88226,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 132
88226,Reclamo,PROCEDE TOTAL,202405,Producto 21,Submotivo 156
59028,Reclamo,NO PROCEDE,202404,Producto 17,Submotivo 99
79392,Reclamo,PROCEDE TOTAL,202404,Producto 20,Submotivo 43
58864,Reclamo,NO PROCEDE,202403,Producto 01,Submotivo 146
67260,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
34712,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 43
34712,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
87874,Reclamo,PROCEDE TOTAL,202406,Producto 21,Submotivo 88
24150,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
37366,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
7636,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 151
59022,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 160
59022,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 125
98985,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 10
81835,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 130
85900,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 160
77851,Reclamo,PROCEDE TOTAL,202406,Producto 21,Submotivo 156
83554,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
83554,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
83554,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 43
67798,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 125
47893,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
51301,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
51301,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 156
56394,Reclamo,PROCEDE TOTAL,201208,Producto 21,Submotivo 39
78267,Reclamo,PROCEDE TOTAL,202406,Producto 01,Submotivo 146
35195,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 27
