ID_CORRELATIVO,CODMES,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5
64175,202408,1,Rang_ingreso_04,Lima,30.0,4.0,Rango_SDO_01,7100,7240,7360,7470,7590,7700,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,5,16,10,27,7,8,2,2,2,2,2,2,1,1,1,1,1,1
87695,202408,1,Rang_ingreso_05,Lima,35.0,10.0,Cero,4580,540,90,20,20,1880,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,1,1,1,1,1,1
40798,202408,1,Rang_ingreso_04,Provincia,32.0,4.0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0
28931,202408,0,Rang_ingreso_02,Lima,20.0,2.0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,7,2,19,0,0,0,0,0,0,0,0,0,0,0,0
12637,202408,1,Rang_ingreso_01,Provincia,29.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,6,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,5,6,6,6,6,1,1,1,1,1,1
23818,202408,1,Rang_ingreso_03,Provincia,28.0,4.0,Rango_SDO_09,12490,12810,13130,13410,13600,3950,1,1,1,1,1,1,Rango_04,0,6,2,1,3,5,1,5,6,5,0,2,5,2,4,5,2,6,4,3,3,3,3,3,3,1,1,0,1,1,1
9915,202408,1,Rang_ingreso_07,Lima,27.0,3.0,Rango_SDO_09,36020,37300,39130,40410,41040,43290,1,1,1,1,1,1,Rango_03,0,3,0,0,0,2,4,13,10,6,12,9,15,4,4,3,3,1,5,3,4,4,4,4,4,1,1,1,1,1,1
28443,202408,1,Rang_ingreso_07,Lima,27.0,3.0,Rango_SDO_02,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,9,5,7,7,10,10,2,15,19,8,8,6,9,10,5,9,14,8,0,0,0,0,0,0,0,0,0,0,0,0
93412,202408,1,Rang_ingreso_02,Lima,40.0,5.0,Cero,15120,11880,11830,12070,12440,12760,1,1,1,1,1,1,Rango_02,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5,5,5,1,1,1,1,1,1
29415,202408,1,Rang_ingreso_01,Lima,29.0,1.0,Rango_SDO_02,40,1100,1060,1130,100,0,1,1,1,1,1,0,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8,3,0,1,1,1,1,1,0,0,0,0,0,0,0
91169,202408,0,,,,0.0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24888,202408,1,Rang_ingreso_02,Lima,30.0,3.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,5,7,2,3,3,3,3,3,3,1,1,1,1,1,1
21378,202408,1,Rang_ingreso_06,Lima,57.0,5.0,Rango_SDO_12,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,4,3,3,3,6,2,0,0,0,0,0,0,0,6,1,0,4,0,2,2,2,2,2,2,1,0,0,1,1,1
8459,202408,0,Rang_ingreso_01,Lima,33.0,2.0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,0,0,Rango_03,0,0,0,0,0,0,2,0,0,0,0,0,0,15,13,15,13,13,14,0,0,0,0,0,0,0,0,0,0,0,0
65912,202408,1,Rang_ingreso_03,Lima,26.0,2.0,Rango_SDO_01,3040,2730,2810,2310,1430,230,1,1,1,1,1,1,Rango_03,0,2,0,1,4,4,1,2,3,1,3,9,2,2,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
68934,202408,1,Rang_ingreso_01,Provincia,21.0,0.0,Rango_SDO_07,0,0,0,0,0,0,1,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,9,9,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50215,202408,1,Rang_ingreso_03,Provincia,38.0,0.0,Cero,100,1910,0,0,0,0,1,1,1,1,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,7,7,4,5,1,0,1,1,1,1
65904,202408,0,Rang_ingreso_01,Lima,72.0,0.0,Rango_SDO_07,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42667,202408,1,Rang_ingreso_01,Provincia,33.0,,Rango_SDO_01,0,9500,6650,0,0,0,1,1,1,0,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,2,0,1,0,0,1,1
8223,202408,1,Rang_ingreso_01,Provincia,35.0,0.0,Rango_SDO_10,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,2,0,1,0,0,0,0,1,0,0,0,0,5,7,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
9178,202408,1,Rang_ingreso_01,Provincia,23.0,0.0,Rango_SDO_01,0,0,0,0,0,0,1,0,0,0,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,1,1,1,2,2,1,1,1,1,1,1
11459,202408,1,Rang_ingreso_02,Provincia,27.0,0.0,Cero,0,0,0,0,0,0,1,0,0,0,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,1,1,1,1
41765,202408,1,Rang_ingreso_01,Lima,21.0,0.0,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
86651,202408,1,Rang_ingreso_03,Provincia,27.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,6,12,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42578,202408,0,Rang_ingreso_01,Lima,23.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57808,202408,1,Rang_ingreso_03,Lima,32.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1
59396,202408,1,Rang_ingreso_02,Lima,39.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,5,7,0,0,0,0,11,6,0,0,0,0,7,9,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
28006,202408,1,Rang_ingreso_03,Lima,29.0,9.0,Rango_SDO_01,5830,6250,6640,7040,7440,7810,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,19,15,25,17,13,14,2,2,2,2,2,2,0,0,0,0,0,0
34519,202408,1,Rang_ingreso_05,Lima,27.0,5.0,Cero,60,30,60,50,90,40,1,1,1,1,1,1,Rango_02,0,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1
28549,202408,1,Rang_ingreso_06,Lima,32.0,7.0,Rango_SDO_11,31030,15480,0,0,0,0,1,1,0,0,0,0,Rango_04,0,11,6,1,3,1,3,0,0,0,0,0,0,24,12,2,15,16,12,6,6,5,5,6,6,1,1,1,1,1,1
37175,202408,1,Rang_ingreso_02,Provincia,28.0,0.0,Rango_SDO_04,0,0,0,0,0,0,1,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,10,17,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71772,202408,1,Rang_ingreso_01,Provincia,40.0,0.0,Cero,480,0,0,0,0,0,1,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,4,3,2,2,1,1,1,1,1,1
80078,202408,1,Rang_ingreso_08,Lima,28.0,10.0,Rango_SDO_11,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,1,0,0,0,0,2,3,3,8,7,6,5,5,7,3,4,6,4,4,4,3,3,3,3,1,1,1,1,1,1
21294,202408,1,Rang_ingreso_01,Lima,59.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21835,202408,1,Rang_ingreso_01,Lima,25.0,0.0,Rango_SDO_01,0,0,0,0,0,0,1,1,0,0,0,0,Rango_03,1,5,4,0,0,0,0,1,0,0,0,0,0,17,14,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
51712,202408,1,Rang_ingreso_04,Provincia,30.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74861,202408,1,Rang_ingreso_02,Lima,37.0,0.0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
71053,202408,0,,Provincia,28.0,0.0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99370,202408,1,Rang_ingreso_03,Provincia,46.0,0.0,Rango_SDO_03,2390,0,0,0,0,0,1,0,0,0,0,0,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,2,2,2,1,1,1,1,1,1,1
26604,202408,0,,Lima,61.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70763,202408,1,Rang_ingreso_02,Lima,21.0,0.0,Cero,0,0,0,0,0,0,1,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,3,2,2,2,1,1,1,1,1,1
12983,202408,1,Rang_ingreso_02,Lima,30.0,0.0,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0
32435,202408,1,Rang_ingreso_02,Lima,24.0,5.0,Rango_SDO_01,1350,1480,1700,1810,2050,2140,1,1,1,1,1,1,Rango_04,0,1,0,0,0,1,0,2,8,8,6,0,0,10,19,7,13,14,16,3,2,2,2,2,3,1,1,1,1,1,1
81868,202408,1,Rang_ingreso_01,Lima,62.0,4.0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1
94779,202408,1,Rang_ingreso_01,Lima,30.0,8.0,Rango_SDO_02,0,0,60,80,170,880,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,2,5,13,8,11,11,16,2,7,4,4,5,5,4,4,4,4,4,4,1,1,1,1,1,0
7233,202408,1,Rang_ingreso_01,Lima,32.0,6.0,Rango_SDO_01,3160,4030,5230,6060,7050,7860,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,4,4,4,5,5,1,1,1,1,1,1
99869,202408,0,Rang_ingreso_03,Provincia,31.0,0.0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29784,202408,0,Rang_ingreso_03,Provincia,24.0,0.0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78185,202408,1,Rang_ingreso_04,Provincia,37.0,0.0,Rango_SDO_07,10300,0,0,0,0,0,1,0,0,0,0,0,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,4,3,3,3,3,3,1,1,1,1,1,1
76851,202408,0,Rang_ingreso_07,,,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64877,202408,0,,Lima,59.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57485,202408,1,Rang_ingreso_08,Lima,31.0,8.0,Rango_SDO_10,66680,75880,71480,67300,66990,66790,1,1,1,1,1,1,Rango_05,1,1,0,0,2,3,3,4,4,4,2,2,4,15,17,9,7,10,11,4,4,4,4,4,4,1,1,1,1,1,1
63863,202408,1,Rang_ingreso_01,Provincia,34.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
23261,202408,1,Rang_ingreso_03,Lima,25.0,3.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,7,2,0,0,0,0,0,0,0,0,0,0,11,13,6,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1
29738,202408,1,Rang_ingreso_06,Lima,28.0,4.0,Rango_SDO_09,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,9,7,3,5,5,6,0,0,0,0,0,0,21,29,15,15,17,20,1,1,1,1,1,1,0,0,0,0,0,0
68451,202408,1,Rang_ingreso_03,Lima,31.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,4,5,0,0,1,2,2,2,2,2,1,1,1,1,1,1
7937,202408,1,Rang_ingreso_03,Lima,41.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
