ID_CORRELATIVO,CODMES,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,ATTRITION,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5
67044,201208,1,Rang_ingreso_01,Provincia,29.0,5.0,0,Rango_SDO_05,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,14,5,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1
15772,201208,1,Rang_ingreso_04,Lima,24.0,3.0,0,Rango_SDO_06,0,0,0,0,0,0,1,1,1,1,1,0,Rango_03,1,11,9,6,9,6,7,2,4,4,5,4,3,9,9,9,0,2,12,1,1,1,1,1,0,0,0,0,0,0,0
37535,201208,1,Rang_ingreso_01,Lima,33.0,9.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
19995,201208,1,Rang_ingreso_07,Lima,36.0,4.0,0,Rango_SDO_03,10,680,1060,1380,1470,1200,1,1,1,1,1,1,Rango_03,1,12,8,8,12,5,12,8,19,13,8,14,16,12,7,10,11,9,9,2,2,3,3,3,3,1,1,1,1,1,1
47025,201208,1,Rang_ingreso_02,Lima,27.0,5.0,0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,1,7,7,5,5,1,12,8,4,3,5,7,30,14,17,22,32,27,0,2,2,2,2,2,0,0,1,1,1,1
23543,201208,1,Rang_ingreso_02,Provincia,27.0,9.0,0,Rango_SDO_01,0,0,0,0,0,0,1,0,0,0,0,0,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,7,8,5,3,4,3,4,4,3,3,1,1,1,1,1,1
64684,201208,1,Rang_ingreso_05,Lima,36.0,,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,5,5,5,5,1,1,1,1,1,1
85765,201208,1,,Lima,34.0,7.0,0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,4,8,18,6,8,14,1,0,1,0,0,0,15,11,7,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0
39333,201208,1,Rang_ingreso_03,Lima,46.0,4.0,0,Cero,4300,4890,5510,3680,4350,2460,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1
14405,201208,1,Rang_ingreso_02,Provincia,55.0,3.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,2,4,5,5,5,5,5,5,1,1,1,1,1,1
97488,201208,1,Rang_ingreso_02,Provincia,37.0,8.0,0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_03,1,6,3,4,1,0,0,0,1,2,0,0,0,1,3,3,6,4,3,3,2,2,2,2,2,1,1,1,1,1,1
72331,201208,1,Rang_ingreso_02,Lima,23.0,5.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,12,14,14,21,15,8,0,0,0,0,0,0,0,0,0,0,0,0
74689,201208,1,Rang_ingreso_07,Lima,36.0,7.0,0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,7,7,2,9,5,2,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35031,201208,1,Rang_ingreso_03,Provincia,39.0,4.0,0,Rango_SDO_07,10550,10930,11290,11430,4090,4650,1,1,1,1,1,1,Rango_05,1,0,0,0,0,0,0,0,0,0,0,0,0,26,20,21,39,20,15,3,3,3,3,3,3,1,1,1,1,1,1
8992,201208,1,Rang_ingreso_06,Provincia,41.0,8.0,0,Rango_SDO_05,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,13,6,9,2,2,2,2,2,2,1,1,1,1,1,1
31389,201208,1,Rang_ingreso_02,Lima,36.0,2.0,0,Rango_SDO_03,3070,3340,3580,3850,4090,4320,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0
57330,201208,1,Rang_ingreso_02,Lima,26.0,4.0,1,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,1,0,0,3,5,2,10,15,9,0,1,0,5,17,9,1,1,1,1,1,1,1,1,1,1,1,1
73198,201208,1,Rang_ingreso_07,Provincia,35.0,8.0,0,Rango_SDO_01,310,360,350,820,6350,1160,1,1,1,1,1,1,Rango_03,1,6,4,4,7,3,4,0,0,0,0,0,0,3,17,3,7,0,2,5,5,4,4,4,4,1,1,1,0,0,0
39119,201208,1,Rang_ingreso_07,Lima,23.0,2.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,1,0,2,3,3,11,2,0,0,0,0,0,2,2,2,2,2,2,3,1,1,1,1,1,1
17358,201208,1,Rang_ingreso_04,Lima,27.0,0.0,0,Cero,1240,1100,1060,230,0,0,1,1,1,1,0,0,Rango_02,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,4,4,6,7,6,4,1,1,1,1,1,1
71214,201208,1,Rang_ingreso_07,Lima,37.0,10.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,14,5,0,0,0,0,0,0,0,0,0,0,0,0
37250,201208,1,Rang_ingreso_07,Lima,42.0,6.0,0,Rango_SDO_10,13610,13760,14850,14560,14000,16020,1,1,1,1,1,1,Rango_05,1,10,15,8,13,14,15,3,4,8,4,11,4,16,12,12,14,19,22,4,4,3,3,3,3,1,1,1,1,1,1
83559,201208,1,Rang_ingreso_03,Lima,30.0,5.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,0,Rango_03,0,1,0,4,1,0,0,11,5,1,0,0,0,0,0,0,3,0,0,4,5,5,5,5,3,1,1,1,1,1,1
20723,201208,1,Rang_ingreso_05,Lima,60.0,4.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
28633,201208,1,Rang_ingreso_06,Lima,35.0,4.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,1,0,0,0,0,0,6,5,0,0,5,8,9,21,4,4,4,4,4,5,5,1,1,1,1,1,1
63427,201208,1,Rang_ingreso_05,Lima,32.0,6.0,0,Rango_SDO_03,78860,79620,79910,80260,80610,80940,1,1,1,1,1,1,Rango_03,1,2,0,3,0,2,3,3,1,0,0,0,0,8,9,7,8,5,6,4,4,4,5,5,5,1,1,1,1,1,1
98173,201208,1,Rang_ingreso_03,Lima,50.0,7.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0
27766,201208,1,Rang_ingreso_08,Lima,48.0,6.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
55656,201208,1,Rang_ingreso_02,Lima,38.0,4.0,0,Rango_SDO_05,0,0,0,0,0,0,0,0,0,0,0,0,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,2,2,2,2,1,1,1,1,1,1
40669,201208,1,Rang_ingreso_03,Lima,32.0,5.0,1,Rango_SDO_03,8490,870,1530,1820,960,980,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,3,6,6,0,3,3,2,2,2,2,1,1,1,0,0,0
63282,201208,1,Rang_ingreso_02,Lima,33.0,1.0,0,Cero,1240,610,560,440,890,210,1,1,1,1,1,1,Rango_02,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
33938,201208,1,Rang_ingreso_02,Lima,23.0,2.0,1,Rango_SDO_01,0,0,0,0,0,0,1,1,1,0,1,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,16,7,8,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0
42687,201208,1,Rang_ingreso_03,Lima,26.0,9.0,0,Rango_SDO_05,190,650,700,460,620,0,1,1,1,1,1,1,Rango_04,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,0,0,0,0,0,0
34489,201208,1,Rang_ingreso_04,Lima,55.0,5.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,6,6,6,6,1,1,1,1,1,0
56231,201208,1,Rang_ingreso_04,Provincia,37.0,8.0,0,Rango_SDO_09,59300,60210,61070,62030,62880,63710,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,6,12,23,4,4,4,4,4,4,1,1,1,1,1,1
92547,201208,1,Rang_ingreso_06,Lima,28.0,4.0,0,Rango_SDO_05,0,0,0,0,0,0,0,0,0,0,0,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
42091,201208,1,Rang_ingreso_02,Lima,58.0,8.0,0,Rango_SDO_03,101460,101920,102640,103090,103520,103920,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
22677,201208,1,Rang_ingreso_05,Lima,26.0,1.0,0,Rango_SDO_11,0,0,0,0,0,0,1,1,1,0,1,1,Rango_03,0,13,6,8,2,9,3,0,0,0,0,0,0,2,2,2,1,4,1,2,2,2,1,1,3,1,1,1,1,1,1
74913,201208,1,Rang_ingreso_09,Lima,40.0,7.0,0,Rango_SDO_14,3090,420,140,2210,900,1010,1,1,1,1,1,1,Rango_04,1,3,4,4,5,2,3,4,5,4,6,9,2,10,6,11,12,15,8,1,1,1,1,1,1,0,0,0,0,0,0
90710,201208,1,Rang_ingreso_04,Lima,34.0,10.0,0,Rango_SDO_06,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,2,0,0,0,0,0,0,0,0,0,0,7,10,14,24,24,20,2,2,2,2,2,2,1,1,1,1,1,1
36318,201208,1,Rang_ingreso_06,Provincia,32.0,5.0,0,Cero,0,0,0,0,0,80,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,5,5,5,6,6,1,1,1,1,1,1
53854,201208,1,Rang_ingreso_06,Provincia,43.0,5.0,0,Rango_SDO_04,26390,26880,27340,27860,28340,28840,1,1,1,1,1,1,Rango_04,1,3,6,0,5,7,2,0,0,0,0,0,0,16,14,21,27,24,19,6,6,6,6,6,6,1,1,1,1,1,1
19820,201208,1,Rang_ingreso_01,Provincia,27.0,5.0,1,Rango_SDO_01,0,0,0,0,0,0,0,1,0,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,13,36,32,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0
30641,201208,1,Rang_ingreso_02,Lima,22.0,5.0,0,Rango_SDO_01,5100,3550,3020,1500,390,0,1,1,1,1,1,0,Rango_04,1,1,0,1,4,3,3,11,10,14,8,11,1,16,28,23,15,21,3,1,1,1,1,1,0,0,0,0,0,0,0
21989,201208,1,Rang_ingreso_01,Lima,30.0,6.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,1,1,0,0,0,0,3,3,5,0,0,5,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
64369,201208,1,Rang_ingreso_04,Lima,22.0,3.0,0,Rango_SDO_01,14600,17350,18340,18620,18180,7100,1,1,1,1,1,1,Rango_05,0,1,0,4,2,8,5,2,0,11,18,8,13,0,0,13,9,14,12,3,3,3,3,3,2,1,1,1,1,1,1
94656,201208,1,Rang_ingreso_03,Provincia,36.0,9.0,0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,5,1,4,4,1,2,0,0,0,0,0,0,6,8,7,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
23506,201208,1,Rang_ingreso_03,Lima,47.0,1.0,0,Rango_SDO_03,940,870,870,820,960,970,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,11,2,5,4,4,4,4,4,3,1,1,1,1,1,1
94541,201208,1,Rang_ingreso_01,Provincia,32.0,4.0,1,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,2,0,0,0,0,0,1,0,0,0,0,0,9,12,17,16,22,13,0,0,0,0,0,0,0,0,0,0,0,0
81225,201208,1,Rang_ingreso_06,Lima,36.0,2.0,0,Rango_SDO_09,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,14,0,3,7,3,3,3,3,3,3,1,1,1,1,1,0
26125,201208,1,Rang_ingreso_04,Provincia,39.0,9.0,0,Rango_SDO_06,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,5,7,6,4,4,4,4,4,3,1,1,1,1,1,1
99741,201208,1,Rang_ingreso_07,Lima,30.0,5.0,0,Cero,75220,75280,75790,75740,76540,87490,1,1,1,1,1,1,Rango_03,0,1,1,3,3,9,10,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,1,1,0,0,0
38420,201208,1,Rang_ingreso_01,Lima,24.0,2.0,0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,5,9,8,0,0,1,5,5,0,0,0,7,16,12,11,17,10,16,1,1,1,1,1,1,1,1,1,1,1,1
5759,201208,1,Rang_ingreso_02,Lima,39.0,6.0,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,6,6,6,6,1,1,1,1,1,1
43858,201208,1,Rang_ingreso_07,Lima,35.0,6.0,0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,1,1,1,1,1,1
5779,201208,1,Rang_ingreso_04,Provincia,23.0,5.0,0,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,2,2,2,1,1,1,1,1,1,0
4700,201208,1,Rang_ingreso_06,Provincia,38.0,5.0,0,Rango_SDO_09,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,4,0,1,2,1,2,0,0,0,0,0,0,10,18,6,12,15,7,0,0,0,0,0,0,0,0,0,0,0,0
60251,201208,1,Rang_ingreso_01,Lima,29.0,6.0,0,Rango_SDO_10,0,0,0,0,0,0,0,0,0,0,0,0,Rango_03,1,2,4,6,3,1,0,0,1,0,0,0,0,19,17,6,13,16,13,0,0,0,0,0,0,0,0,0,0,0,0
46853,201208,1,Rang_ingreso_05,Provincia,24.0,1.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,3,1,1,3,7,12,20,13,17,14,7,12,6,14,8,9,19,2,2,2,2,2,2,1,1,1,1,1,1
51396,201208,1,Rang_ingreso_06,Provincia,39.0,9.0,0,Rango_SDO_08,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,21,24,20,25,22,30,0,0,0,0,0,0,2,5,3,5,7,3,6,7,6,6,6,5,1,1,1,1,1,1
5786,201208,1,,Lima,33.0,2.0,0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,12,1,2,0,0,0,0,0,0,0,0,0,18,9,10,13,20,18,0,0,0,0,0,0,0,0,0,0,0,0
86424,201208,1,Rang_ingreso_04,Lima,30.0,4.0,0,Cero,5020,8500,6060,3420,2120,2410,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,4,4,4,4,1,1,1,1,1,1
48637,201208,1,Rang_ingreso_02,Provincia,39.0,9.0,0,Rango_SDO_01,1090,990,1330,1460,1320,1160,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,2,2,2,2,1,1,1,1,1,1
29073,201208,1,Rang_ingreso_04,Lima,24.0,0.0,0,Cero,0,1560,1230,10,0,0,1,1,1,1,0,0,Rango_03,0,1,3,1,0,0,0,11,8,8,1,0,0,3,0,5,2,0,0,4,4,4,6,5,5,1,1,1,1,1,1
